number	mktype	m425	eff_wavelength_m425	m475	eff_wavelength_m475	m525	eff_wavelength_m525	m575	eff_wavelength_m575	m625	eff_wavelength_m625	m675	eff_wavelength_m675	m725	eff_wavelength_m725	m775	eff_wavelength_m775	m825	eff_wavelength_m825	m875	eff_wavelength_m875	m925	eff_wavelength_m925	m975	eff_wavelength_m975	m1025	eff_wavelength_m1025	B	eff_wavelength_B	V	eff_wavelength_V	g	eff_wavelength_g	r	eff_wavelength_r	i	eff_wavelength_i	n6780	eff_wavelength_n6780	n6830	eff_wavelength_n6830
11	B6V	-28.63259599147898	4257.7433205540165	-28.634610684531697	4755.646409923665	-28.615077213081655	5255.022260503111	-28.58622666127517	5748.635732582142	-28.595614542212	6249.486110949354	-28.573238509276592	6759.434908824179	-28.539186206426308	7259.556406302323	-28.502784295643487	7752.821747940547	-28.500530530714805	8251.095420142767	-28.55314636920621	8762.201215194538	-28.497337021705846	9266.405410354084	-28.526241898679384	9758.19622894132	-28.47039187412394	10263.121445458055	-28.606314840892956	4442.247987847948	-28.60310905770854	5536.148092775338	-28.625848820928784	4726.112380694397	-28.586831028414682	6197.686507530391	-28.526083030095354	7523.852129426542	-28.58530190583107	6783.502010948252	-28.590565443694448	6832.973429309854
12	B7V	-28.619576550826636	4257.7433205540165	-28.62697323945495	4755.646409923665	-28.616061151790827	5255.022260503111	-28.588437697013816	5748.635732582142	-28.586343003262552	6249.486110949354	-28.56521722412255	6759.434908824179	-28.543224051474123	7259.556406302323	-28.529554657358602	7752.821747940547	-28.530153632808478	8251.095420142767	-28.56845849704209	8762.201215194538	-28.58653092752999	9266.405410354084	-28.58275936951181	9758.19622894132	-28.48372401220095	10263.121445458055	-28.59898773888711	4442.247987847948	-28.603153303369503	5536.148092775338	-28.619034872959624	4726.112380694397	-28.58370749315284	6197.686507530391	-28.54075416996899	7523.852129426542	-28.55169647490476	6783.502010948252	-28.559167373738717	6832.973429309854
13	B9V	-28.59748008007278	4257.7433205540165	-28.61604121885155	4755.646409923665	-28.600801721983995	5255.022260503111	-28.613081725932084	5748.635732582142	-28.580450815754315	6249.486110949354	-28.564430646875717	6759.434908824179	-28.56028181750704	7259.556406302323	-28.524060037110843	7752.821747940547	-28.55140656769938	8251.095420142767	-28.621248312609065	8762.201215194538	-28.611954634929766	9266.405410354084	-28.625166520025786	9758.19622894132	-28.60466438015157	10263.121445458055	-28.582834351496516	4442.247987847948	-28.60450921618967	5536.148092775338	-28.60029483810566	4726.112380694397	-28.587734760683382	6197.686507530391	-28.546862584284014	7523.852129426542	-28.57562341353589	6783.502010948252	-28.590061376569274	6832.973429309854
14	A0V	-28.549653106261772	4257.7433205540165	-28.583492752038474	4755.646409923665	-28.598038104860105	5255.022260503111	-28.617797555791448	5748.635732582142	-28.620203015457815	6249.486110949354	-28.60017185323617	6759.434908824179	-28.616266233337974	7259.556406302323	-28.60219764142321	7752.821747940547	-28.611465258886536	8251.095420142767	-28.67167146681605	8762.201215194538	-28.705152347554858	9266.405410354084	-28.710459888963634	9758.19622894132	-28.71672938505747	10263.121445458055	-28.528999135696633	4442.247987847948	-28.605267367100375	5536.148092775338	-28.568446076548973	4726.112380694397	-28.611556011751347	6197.686507530391	-28.61217843427502	7523.852129426542	-28.622250136921586	6783.502010948252	-28.638380956566575	6832.973429309854
15	B9V	-28.540994364065032	4257.7433205540165	-28.584196661809568	4755.646409923665	-28.60288031191185	5255.022260503111	-28.61248831109338	5748.635732582142	-28.59635110203581	6249.486110949354	-28.62015815845687	6759.434908824179	-28.632481340850546	7259.556406302323	-28.593658498946493	7752.821747940547	-28.587382715931	8251.095420142767	-28.678897067630057	8762.201215194538	-28.77061958048742	9266.405410354084	-28.752900930840156	9758.19622894132	-28.720781790729365	10263.121445458055	-28.522507964127854	4442.247987847948	-28.60449338273242	5536.148092775338	-28.56685294937259	4726.112380694397	-28.60141020561942	6197.686507530391	-28.617612092867457	7523.852129426542	-28.63552532563552	6783.502010948252	-28.651736670850937	6832.973429309854
16	A2V	-28.543314482291052	4257.7433205540165	-28.60004091675611	4755.646409923665	-28.59881906737201	5255.022260503111	-28.610964574934606	5748.635732582142	-28.64129469496996	6249.486110949354	-28.620637312969382	6759.434908824179	-28.603587469637116	7259.556406302323	-28.623605426551364	7752.821747940547	-28.60859392775966	8251.095420142767	-28.649745770796102	8762.201215194538	-28.623997632950818	9266.405410354084	-28.6839193261344	9758.19622894132	-28.643023479380542	10263.121445458055	-28.520136765768033	4442.247987847948	-28.605350304930827	5536.148092775338	-28.570283342044753	4726.112380694397	-28.621734812637282	6197.686507530391	-28.61593588733411	7523.852129426542	-28.64358395776948	6783.502010948252	-28.660023416890215	6832.973429309854
17	A1V	-28.50866541946569	4257.7433205540165	-28.586487077386813	4755.646409923665	-28.59735459013732	5255.022260503111	-28.619554243511246	5748.635732582142	-28.60674740644491	6249.486110949354	-28.59167326947512	6759.434908824179	-28.613750479992795	7259.556406302323	-28.589781476513167	7752.821747940547	-28.629214931648637	8251.095420142767	-28.665759456238533	8762.201215194538	-28.699659088533195	9266.405410354084	-28.70996203307705	9758.19622894132	-28.69378912303299	10263.121445458055	-28.4952805103947	4442.247987847948	-28.60509465139383	5536.148092775338	-28.55149017813869	4726.112380694397	-28.60187220343803	6197.686507530391	-28.60788068712667	7523.852129426542	-28.615745376717776	6783.502010948252	-28.64226100306848	6832.973429309854
18	A2V	-28.524251804921633	4257.7433205540165	-28.585889596312086	4755.646409923665	-28.597859333953707	5255.022260503111	-28.624533206163044	5748.635732582142	-28.600555599524053	6249.486110949354	-28.637429052234662	6759.434908824179	-28.64550962103486	7259.556406302323	-28.584679613602198	7752.821747940547	-28.591677122844477	8251.095420142767	-28.655837886847042	8762.201215194538	-28.726729803504007	9266.405410354084	-28.726445798587832	9758.19622894132	-28.708687158620553	10263.121445458055	-28.50313643823357	4442.247987847948	-28.60491124774341	5536.148092775338	-28.558785221740067	4726.112380694397	-28.611533380449117	6197.686507530391	-28.620768989267802	7523.852129426542	-28.668032284816274	6783.502010948252	-28.655986465401355	6832.973429309854
19	A3V	-28.456141258154148	4257.7433205540165	-28.56115695659198	4755.646409923665	-28.588979018626105	5255.022260503111	-28.6332539355693	5748.635732582142	-28.625250549424926	6249.486110949354	-28.61567203404734	6759.434908824179	-28.647817006782915	7259.556406302323	-28.62994809002746	7752.821747940547	-28.67000299549167	8251.095420142767	-28.710286425480085	8762.201215194538	-28.753977196774073	9266.405410354084	-28.758670983632292	9758.19622894132	-28.75232129614327	10263.121445458055	-28.44786722620842	4442.247987847948	-28.605945626264155	5536.148092775338	-28.519449059320348	4726.112380694397	-28.6203357762664	6197.686507530391	-28.643134570553602	7523.852129426542	-28.651276938137133	6783.502010948252	-28.667569697093267	6832.973429309854
20	A0V	-28.452359147512894	4257.7433205540165	-28.526944470566637	4755.646409923665	-28.592000441862314	5255.022260503111	-28.6221888833631	5748.635732582142	-28.658833040166485	6249.486110949354	-28.64370562219151	6759.434908824179	-28.667509082190954	7259.556406302323	-28.680337319034802	7752.821747940547	-28.68445276722481	8251.095420142767	-28.809654703226677	8762.201215194538	-28.794417088067643	9266.405410354084	-28.82362267943987	9758.19622894132	-28.85372662186213	10263.121445458055	-28.447872355292812	4442.247987847948	-28.60645920168212	5536.148092775338	-28.509371134273565	4726.112380694397	-28.63771226297102	6197.686507530391	-28.67654399646417	7523.852129426542	-28.663995561798533	6783.502010948252	-28.69451626205471	6832.973429309854
